timestamp,department,item_name,item_category,current_stock,patient_volume,acuity_level,procedure_count,recent_usage_rate,supplier_delay_days,day_of_week,hour,season,reorder_point,unit_cost,supplier_reliability_score,pack_time_minutes,clinical_criticality,actual_usage_next_24h
2026-09-14T14:49:27.603664,Outpatient Clinic,Nitrile Gloves Large,PPE,97,7,2.79,3,3.86,4.73,4,1,Autumn,39,32.24,0.75,2.65,2,4.73
2026-09-14T14:49:27.604676,Med-Surg,PPE Gown,PPE,53,10,1.14,3,6.97,6.89,0,2,Winter,16,25.99,0.72,9.54,3,3.84
2026-09-14T14:49:27.604676,Med-Surg,Patient Monitoring Leads,Monitoring,13,7,2.83,3,11.82,3.26,5,9,Autumn,38,145.45,0.93,9.46,4,13.44
2026-09-14T14:49:27.604676,Outpatient Clinic,Blood Draw Kit,Lab Supplies,82,7,1.98,4,9.06,1.42,6,12,Winter,34,148.04,0.93,2.79,2,11.72
2026-09-14T14:49:27.605676,Outpatient Clinic,Sterile Gauze,Wound Care,85,14,1.29,5,6.98,6.82,2,0,Winter,35,35.78,0.78,1.36,2,6.45
2026-09-14T14:49:27.605676,Med-Surg,Nasal Cannula,Respiratory,55,8,3.72,3,3.0,2.38,5,1,Spring,15,68.75,0.77,4.75,3,3.97
2026-09-14T14:49:27.605676,Radiology,Sterile Gauze,Wound Care,96,9,1.82,1,6.58,2.48,5,7,Summer,18,72.98,0.91,3.42,2,5.91
2026-09-14T14:49:27.605676,Emergency Department,Nitrile Gloves Large,PPE,66,7,1.9,1,9.92,3.77,5,22,Winter,41,136.29,0.77,2.3,2,9.89
2026-09-14T14:49:27.606671,Med-Surg,Saline Flush,IV Supplies,36,10,1.24,5,12.61,5.69,0,5,Autumn,38,128.82,0.8,2.98,2,15.65
2026-09-14T14:49:27.606671,Med-Surg,Foley Catheter Kit,Catheterization,56,16,2.55,6,4.27,6.88,3,16,Spring,10,14.42,0.97,9.1,3,5.91
2026-09-14T14:49:27.606671,Surgery,Foley Catheter Kit,Catheterization,13,8,3.54,11,5.97,3.66,2,15,Winter,45,106.97,0.77,3.93,3,8.11
2026-09-14T14:49:27.607673,Outpatient Clinic,Nitrile Gloves Medium,PPE,21,8,2.53,6,6.55,4.69,6,0,Winter,28,86.01,0.93,1.39,2,9.74
2026-09-14T14:49:27.608179,Med-Surg,Surgical Tray,Surgical Supplies,34,9,3.78,7,4.2,4.12,6,21,Spring,12,85.72,0.73,6.54,4,6.74
2026-09-14T14:49:27.608179,Emergency Department,Blood Draw Kit,Lab Supplies,37,6,2.66,4,2.07,4.58,3,0,Autumn,25,8.09,0.97,1.25,2,2.38
2026-09-14T14:49:27.608179,ICU,Syringe 10ml,IV Supplies,36,11,2.4,3,2.49,5.85,5,10,Autumn,46,78.58,0.93,2.94,3,1.27
2026-09-14T14:49:27.608179,Labor and Delivery,Nitrile Gloves Large,PPE,98,10,3.18,5,3.02,0.66,4,22,Summer,18,103.43,0.72,9.24,2,3.75
2026-09-14T14:49:27.609186,Outpatient Clinic,Syringe 10ml,IV Supplies,52,7,2.91,4,9.36,1.53,5,13,Autumn,14,14.58,0.79,9.82,3,11.69
2026-09-14T14:49:27.609186,Med-Surg,IV Start Kit,IV Supplies,98,11,3.85,2,14.13,3.76,4,12,Autumn,25,11.05,0.89,1.24,3,16.75
2026-09-14T14:49:27.609186,Surgery,Nitrile Gloves Large,PPE,28,12,1.39,6,4.79,2.95,4,18,Spring,44,50.81,0.9,4.47,2,3.02
2026-09-14T14:49:27.610700,Surgery,PPE Gown,PPE,11,8,3.25,8,11.76,5.4,0,16,Winter,29,124.06,0.8,9.06,3,15.5
2026-09-14T14:49:27.610700,Emergency Department,Nitrile Gloves Large,PPE,16,9,3.03,3,9.83,4.1,4,3,Winter,32,117.3,0.73,9.38,2,14.44
2026-09-14T14:49:27.611296,Outpatient Clinic,Surgical Tray,Surgical Supplies,13,13,1.3,2,12.68,5.09,4,4,Spring,28,87.41,0.96,8.92,4,14.76
2026-09-14T14:49:27.611296,Emergency Department,Foley Catheter Kit,Catheterization,93,11,3.12,4,7.65,2.15,1,19,Autumn,17,18.07,0.89,7.71,3,9.4
2026-09-14T14:49:27.611296,Outpatient Clinic,Surgical Tray,Surgical Supplies,29,14,3.89,0,14.61,0.78,4,15,Spring,30,148.95,0.72,5.98,4,16.25
2026-09-14T14:49:27.612307,Med-Surg,PPE Gown,PPE,22,6,1.88,6,7.13,1.19,4,7,Spring,37,97.2,0.82,3.06,3,6.25
2026-09-14T14:49:27.612307,Med-Surg,Sterile Gauze,Wound Care,67,10,3.44,7,14.13,6.13,4,4,Summer,42,116.75,0.84,9.87,2,12.86
2026-09-14T14:49:27.612307,Surgery,Oxygen Mask,Respiratory,30,10,1.82,6,14.28,6.02,0,20,Spring,18,19.81,0.99,6.46,4,17.13
2026-09-14T14:49:27.613306,ICU,Surgical Tray,Surgical Supplies,99,10,2.56,5,2.37,5.41,4,13,Spring,20,32.34,0.74,1.13,4,0.36
2026-09-14T14:49:27.613814,Radiology,Syringe 10ml,IV Supplies,86,9,3.71,7,14.05,3.7,3,19,Autumn,14,147.01,0.85,3.96,3,12.84
2026-09-14T14:49:27.613814,Surgery,PPE Gown,PPE,27,6,1.42,4,10.68,1.62,1,18,Summer,30,25.76,0.78,2.59,3,13.09
2026-09-14T14:49:27.613814,Labor and Delivery,Wound Care Pack,Wound Care,5,10,3.68,2,3.2,3.63,5,14,Autumn,39,23.97,0.81,1.02,3,3.88
2026-09-14T14:49:27.614825,Outpatient Clinic,Blood Draw Kit,Lab Supplies,90,7,2.59,2,3.73,4.97,6,13,Summer,27,67.39,0.86,3.18,2,4.17
2026-09-14T14:49:27.614825,Emergency Department,Foley Catheter Kit,Catheterization,32,7,1.36,5,8.98,4.31,0,11,Summer,46,54.78,0.89,6.14,3,7.08
2026-09-14T14:49:27.614825,Radiology,Oxygen Mask,Respiratory,74,9,3.55,2,12.95,0.84,6,7,Winter,45,149.59,0.97,6.18,4,15.37
2026-09-14T14:49:27.615822,Surgery,Nitrile Gloves Large,PPE,83,13,1.51,6,6.21,3.27,0,19,Winter,21,17.67,0.88,3.6,2,4.55
2026-09-14T14:49:27.615822,Med-Surg,Nasal Cannula,Respiratory,7,3,1.4,3,5.31,4.93,0,8,Summer,24,71.0,0.82,4.14,3,6.38
2026-09-14T14:49:27.615822,Emergency Department,Oxygen Mask,Respiratory,66,12,3.8,5,12.16,5.88,4,13,Autumn,39,123.86,0.76,3.12,4,14.86
2026-09-14T14:49:27.616824,Emergency Department,Nasal Cannula,Respiratory,46,9,2.32,5,13.69,3.0,5,20,Autumn,49,93.82,0.74,9.46,3,15.55
2026-09-14T14:49:27.616824,Outpatient Clinic,Nitrile Gloves Medium,PPE,76,12,3.64,7,4.66,5.14,4,9,Winter,47,80.7,0.81,5.11,2,5.24
2026-09-14T14:49:27.616824,Labor and Delivery,Nasal Cannula,Respiratory,51,9,1.04,7,7.51,2.37,2,11,Spring,22,21.3,0.73,3.3,3,13.27
2026-09-14T14:49:27.616824,Med-Surg,Sterile Gauze,Wound Care,80,13,2.95,3,3.36,5.96,2,22,Winter,46,147.73,0.95,2.12,2,8.77
2026-09-14T14:49:27.616824,Labor and Delivery,PPE Gown,PPE,57,8,1.01,5,11.59,3.44,2,11,Summer,33,86.86,0.75,1.3,3,13.79
2026-09-14T14:49:27.618404,Emergency Department,IV Start Kit,IV Supplies,33,11,1.04,3,7.39,1.05,4,7,Winter,16,89.51,0.72,7.75,3,8.53
2026-09-14T14:49:27.619415,Radiology,Nasal Cannula,Respiratory,53,11,3.33,5,4.37,6.1,6,2,Autumn,19,40.98,0.89,4.68,3,4.51
2026-09-14T14:49:27.619415,Outpatient Clinic,Foley Catheter Kit,Catheterization,96,9,1.76,4,13.54,4.12,1,2,Autumn,33,108.48,0.96,8.47,3,18.18
2026-09-14T14:49:27.619415,Labor and Delivery,Patient Monitoring Leads,Monitoring,99,8,2.9,7,6.37,5.86,2,22,Summer,21,124.68,0.8,7.96,4,4.99
2026-09-14T14:49:27.620924,Emergency Department,Syringe 10ml,IV Supplies,57,13,3.61,4,5.49,4.02,4,6,Winter,31,125.32,1.0,5.73,3,4.96
2026-09-14T14:49:27.620924,Surgery,Wound Care Pack,Wound Care,22,10,2.49,2,11.36,1.19,5,20,Summer,40,131.15,0.88,6.4,3,10.94
2026-09-14T14:49:27.621934,Emergency Department,Oxygen Mask,Respiratory,75,11,2.21,5,12.02,0.94,2,7,Summer,45,108.0,0.79,6.1,4,17.39
2026-09-14T14:49:27.621934,Radiology,Wound Care Pack,Wound Care,73,10,2.62,4,10.1,3.58,0,8,Autumn,26,62.21,0.91,6.38,3,10.5
2026-09-14T14:49:27.621934,Emergency Department,Foley Catheter Kit,Catheterization,39,12,2.77,3,14.35,3.4,6,11,Spring,25,131.01,0.92,8.26,3,18.36
2026-09-14T14:49:27.622935,Radiology,Blood Draw Kit,Lab Supplies,29,15,3.08,2,9.65,7.0,1,20,Spring,16,5.57,0.91,3.68,2,12.74
2026-09-14T14:49:27.622935,ICU,Sterile Gauze,Wound Care,91,10,2.95,6,9.44,5.73,3,21,Winter,22,94.07,0.97,6.54,2,10.55
2026-09-14T14:49:27.622935,Surgery,Sterile Gauze,Wound Care,43,5,2.44,3,6.37,3.9,0,16,Summer,23,44.9,0.96,7.44,2,9.14
2026-09-14T14:49:27.622935,Labor and Delivery,PPE Gown,PPE,52,9,3.04,3,7.43,6.21,5,23,Summer,22,148.38,0.92,1.58,3,10.45
2026-09-14T14:49:27.623948,Radiology,Oxygen Mask,Respiratory,78,3,1.11,7,5.38,3.85,1,16,Autumn,12,122.47,0.77,3.01,4,5.26
2026-09-14T14:49:27.624456,Outpatient Clinic,PPE Gown,PPE,77,10,1.82,2,2.46,2.64,0,4,Summer,43,61.56,0.81,3.34,3,2.64
2026-09-14T14:49:27.624456,Radiology,Oxygen Mask,Respiratory,64,14,3.72,7,4.05,1.54,4,10,Winter,34,139.55,0.73,7.29,4,8.04
2026-09-14T14:49:27.624456,Med-Surg,Foley Catheter Kit,Catheterization,9,6,3.23,4,5.73,4.51,0,8,Winter,49,39.34,0.89,5.86,3,5.69
2026-09-14T14:49:27.625465,Radiology,Foley Catheter Kit,Catheterization,78,9,2.18,4,14.31,1.58,3,21,Winter,19,71.3,0.72,1.67,3,16.18
2026-09-14T14:49:27.625465,ICU,Syringe 10ml,IV Supplies,18,12,3.27,1,6.21,3.68,2,10,Spring,32,67.16,0.78,9.97,3,3.93
2026-09-14T14:49:27.626463,Outpatient Clinic,Foley Catheter Kit,Catheterization,33,12,1.25,4,7.62,6.63,4,19,Spring,28,41.5,1.0,4.68,3,3.98
2026-09-14T14:49:27.626463,Med-Surg,Wound Care Pack,Wound Care,19,12,3.6,4,4.65,1.09,6,13,Spring,16,94.12,0.74,1.29,3,5.51
2026-09-14T14:49:27.626463,Radiology,PPE Gown,PPE,98,5,3.06,3,9.57,2.25,2,12,Winter,17,69.96,0.9,4.56,3,11.94
2026-09-14T14:49:27.627463,Outpatient Clinic,Wound Care Pack,Wound Care,36,11,3.86,4,9.42,0.62,5,21,Autumn,29,52.23,0.93,9.47,3,10.49
2026-09-14T14:49:27.628494,Emergency Department,Nasal Cannula,Respiratory,34,9,2.7,4,10.27,5.09,5,8,Spring,18,8.27,0.86,7.38,3,9.74
2026-09-14T14:49:27.628494,ICU,Surgical Tray,Surgical Supplies,66,13,2.45,5,4.13,3.35,1,21,Autumn,32,97.72,0.84,6.54,4,3.84
2026-09-14T14:49:27.630020,Labor and Delivery,Blood Draw Kit,Lab Supplies,97,13,2.49,6,10.84,0.97,6,14,Winter,16,69.66,0.96,7.54,2,7.87
2026-09-14T14:49:27.630703,Labor and Delivery,Blood Draw Kit,Lab Supplies,24,11,3.3,4,7.14,4.44,6,1,Autumn,15,98.42,1.0,3.55,2,5.3
2026-09-14T14:49:27.631710,ICU,Blood Draw Kit,Lab Supplies,25,12,3.15,4,13.11,3.7,5,21,Autumn,23,77.47,0.81,6.34,2,11.32
2026-09-14T14:49:27.631710,Radiology,IV Start Kit,IV Supplies,93,19,2.97,4,5.07,0.98,5,15,Spring,38,50.88,0.95,4.88,3,6.87
2026-09-14T14:49:27.632714,Emergency Department,PPE Gown,PPE,68,9,2.82,7,2.44,6.91,0,4,Autumn,35,6.38,0.74,5.07,3,0.0
2026-09-14T14:49:27.633219,Labor and Delivery,Sterile Gauze,Wound Care,73,5,3.06,3,6.2,6.83,6,23,Summer,32,100.2,0.74,1.27,2,9.04
2026-09-14T14:49:27.633219,ICU,Surgical Tray,Surgical Supplies,12,19,3.02,7,10.03,6.15,0,11,Summer,17,119.43,0.98,6.41,4,8.96
2026-09-14T14:49:27.634226,Outpatient Clinic,Patient Monitoring Leads,Monitoring,57,12,2.05,6,5.75,1.21,1,5,Spring,13,100.31,0.94,7.86,4,5.73
2026-09-14T14:49:27.634226,Surgery,IV Start Kit,IV Supplies,92,8,1.99,6,7.78,0.6,2,2,Autumn,23,93.11,0.84,4.42,3,11.31
2026-09-14T14:49:27.635234,ICU,Blood Draw Kit,Lab Supplies,52,13,1.45,4,11.71,5.15,2,12,Winter,32,64.91,0.97,1.64,2,13.14
2026-09-14T14:49:27.636236,Surgery,Nitrile Gloves Large,PPE,25,10,1.5,6,11.33,3.1,4,3,Spring,34,78.61,0.74,8.73,2,13.22
2026-09-14T14:49:27.636236,Outpatient Clinic,Nasal Cannula,Respiratory,35,12,2.7,5,10.23,6.68,6,21,Spring,30,132.69,0.77,2.91,3,8.45
2026-09-14T14:49:27.637237,Labor and Delivery,Saline Flush,IV Supplies,76,13,1.77,6,7.51,1.49,0,2,Autumn,43,71.2,0.86,2.61,2,11.76
2026-09-14T14:49:27.637237,Labor and Delivery,Nitrile Gloves Medium,PPE,96,7,1.77,2,5.57,4.38,1,2,Spring,48,108.82,0.7,4.07,2,6.91
2026-09-14T14:49:27.638235,Radiology,Saline Flush,IV Supplies,36,8,1.26,3,6.61,0.95,0,1,Autumn,14,10.95,0.89,3.44,2,9.68
2026-09-14T14:49:27.638742,ICU,Nitrile Gloves Medium,PPE,48,8,3.01,5,9.31,6.72,4,14,Winter,25,61.72,0.83,8.4,2,10.2
2026-09-14T14:49:27.638742,Radiology,Nasal Cannula,Respiratory,27,9,3.98,5,11.82,1.33,3,5,Autumn,43,9.93,0.74,3.05,3,13.77
2026-09-14T14:49:27.640759,Labor and Delivery,Syringe 10ml,IV Supplies,89,8,2.53,6,9.37,3.04,3,14,Winter,47,122.71,0.81,8.9,3,10.84
2026-09-14T14:49:27.641766,Outpatient Clinic,Nitrile Gloves Large,PPE,18,5,1.52,5,13.21,6.5,5,0,Spring,25,114.84,0.75,5.52,2,15.17
2026-09-14T14:49:27.641766,Emergency Department,Wound Care Pack,Wound Care,29,12,2.43,2,12.1,1.29,3,12,Summer,23,131.48,0.78,8.66,3,9.99
2026-09-14T14:49:27.642769,Outpatient Clinic,Nitrile Gloves Medium,PPE,9,13,1.17,4,3.85,1.29,5,13,Summer,16,103.98,0.72,5.58,2,6.75
2026-09-14T14:49:27.642769,Outpatient Clinic,Blood Draw Kit,Lab Supplies,21,7,1.52,7,8.26,1.65,4,21,Winter,11,20.5,0.83,8.11,2,12.59
2026-09-14T14:49:27.642769,Outpatient Clinic,Oxygen Mask,Respiratory,69,8,2.89,1,2.55,2.91,0,10,Summer,30,126.73,0.73,5.39,4,4.4
2026-09-14T14:49:27.644277,Med-Surg,Syringe 10ml,IV Supplies,56,7,3.43,5,10.56,6.63,1,15,Winter,42,126.21,0.71,9.12,3,15.93
2026-09-14T14:49:27.644277,ICU,Blood Draw Kit,Lab Supplies,63,9,3.67,5,2.49,5.35,0,12,Summer,33,16.25,0.71,5.58,2,1.53
2026-09-14T14:49:27.645283,ICU,Patient Monitoring Leads,Monitoring,15,13,2.24,3,3.07,3.85,0,7,Autumn,49,93.89,0.81,2.85,4,3.94
2026-09-14T14:49:27.645915,Radiology,PPE Gown,PPE,45,18,3.69,3,8.32,6.48,3,1,Summer,19,51.07,0.98,3.02,3,7.3
2026-09-14T14:49:27.645915,Emergency Department,Blood Draw Kit,Lab Supplies,63,10,1.49,4,14.9,4.86,5,22,Summer,21,137.88,0.78,7.8,2,18.82
2026-09-14T14:49:27.646925,Radiology,Foley Catheter Kit,Catheterization,27,11,2.64,3,3.71,5.22,2,17,Summer,24,76.12,0.95,7.6,3,3.8
2026-09-14T14:49:27.646925,Surgery,Oxygen Mask,Respiratory,65,12,1.32,1,9.5,6.2,4,14,Autumn,25,121.86,0.92,8.93,4,8.74
2026-09-14T14:49:27.646925,ICU,Syringe 10ml,IV Supplies,93,10,2.85,4,11.89,0.73,0,13,Spring,43,113.92,0.9,7.81,3,11.84
2026-09-14T14:49:27.648388,Outpatient Clinic,Foley Catheter Kit,Catheterization,74,9,3.17,5,10.05,2.81,0,12,Autumn,26,88.44,0.84,6.78,3,11.31
2026-09-14T14:49:27.648388,Outpatient Clinic,Nitrile Gloves Large,PPE,8,11,1.07,4,14.77,1.86,3,18,Autumn,45,18.8,0.92,3.12,2,14.87
2026-09-14T14:49:27.648945,Outpatient Clinic,Nitrile Gloves Large,PPE,96,16,2.26,5,9.43,4.32,0,19,Winter,19,50.51,0.71,1.22,2,9.32
2026-09-14T14:49:27.648945,Emergency Department,Sterile Gauze,Wound Care,55,16,2.29,6,3.05,5.23,1,2,Winter,33,109.56,0.93,2.43,2,4.9
2026-09-14T14:49:27.649952,Med-Surg,Surgical Tray,Surgical Supplies,64,9,2.42,0,5.68,0.79,5,6,Summer,37,118.18,0.99,4.34,4,8.56
2026-09-14T14:49:27.649952,Radiology,Surgical Tray,Surgical Supplies,77,10,1.19,4,13.7,0.64,2,19,Autumn,24,132.38,0.82,8.45,4,14.59
2026-09-14T14:49:27.649952,Radiology,PPE Gown,PPE,41,11,2.7,4,3.97,1.96,1,6,Spring,42,78.75,0.73,8.74,3,3.77
2026-09-14T14:49:27.650964,Radiology,IV Start Kit,IV Supplies,21,11,3.54,3,3.27,6.1,2,6,Spring,21,9.81,0.85,8.26,3,3.9
2026-09-14T14:49:27.650964,ICU,Nitrile Gloves Medium,PPE,68,13,2.02,4,3.64,4.79,3,13,Summer,49,147.76,0.93,1.24,2,3.88
2026-09-14T14:49:27.651959,Med-Surg,IV Start Kit,IV Supplies,46,10,2.97,6,12.31,4.25,4,7,Summer,18,59.7,0.97,5.8,3,12.07
2026-09-14T14:49:27.651959,ICU,Surgical Tray,Surgical Supplies,88,10,2.84,4,2.43,2.86,3,15,Summer,46,66.33,0.88,1.75,4,3.06
2026-09-14T14:49:27.651959,Radiology,Foley Catheter Kit,Catheterization,20,6,1.97,5,2.38,5.85,1,4,Summer,37,128.8,0.95,5.87,3,3.1
2026-09-14T14:49:27.652960,Surgery,Surgical Tray,Surgical Supplies,48,11,1.76,4,3.13,5.17,2,19,Spring,27,112.45,0.9,6.59,4,5.44
2026-09-14T14:49:27.652960,Surgery,Patient Monitoring Leads,Monitoring,19,7,3.22,2,10.86,1.59,3,0,Autumn,32,12.02,0.8,8.8,4,11.08
2026-09-14T14:49:27.653962,Outpatient Clinic,Wound Care Pack,Wound Care,19,7,1.91,10,7.81,3.49,3,20,Autumn,44,62.21,0.94,5.31,3,8.49
2026-09-14T14:49:27.653962,Radiology,Saline Flush,IV Supplies,91,6,3.92,9,4.84,1.28,3,7,Winter,39,7.4,0.87,3.55,2,4.72
2026-09-14T14:49:27.653962,Radiology,Sterile Gauze,Wound Care,57,8,3.23,4,13.6,1.7,6,15,Winter,39,64.66,0.78,8.1,2,18.68
2026-09-14T14:49:27.653962,Med-Surg,Oxygen Mask,Respiratory,71,10,2.58,2,14.43,0.66,6,14,Autumn,21,136.65,0.84,2.24,4,17.59
2026-09-14T14:49:27.654960,Surgery,Saline Flush,IV Supplies,56,9,2.89,4,7.0,3.67,5,11,Spring,33,90.3,0.92,5.56,2,6.45
2026-09-14T14:49:27.654960,Emergency Department,Syringe 10ml,IV Supplies,21,15,2.41,5,9.68,3.99,0,13,Winter,17,5.99,0.73,4.05,3,11.04
2026-09-14T14:49:27.655970,Labor and Delivery,Oxygen Mask,Respiratory,53,7,1.13,6,2.39,4.89,5,18,Summer,22,139.45,0.75,4.51,4,3.78
2026-09-14T14:49:27.655970,Labor and Delivery,Oxygen Mask,Respiratory,16,12,3.16,3,11.33,5.89,0,14,Autumn,27,38.88,0.9,8.2,4,13.16
2026-09-14T14:49:27.655970,Med-Surg,Syringe 10ml,IV Supplies,23,11,3.7,5,13.54,4.39,5,17,Summer,18,92.08,0.96,7.52,3,15.02
2026-09-14T14:49:27.656961,ICU,IV Start Kit,IV Supplies,45,9,2.46,2,9.26,2.73,6,23,Winter,47,126.92,0.91,4.87,3,8.7
2026-09-14T14:49:27.656961,Surgery,Nasal Cannula,Respiratory,77,8,2.34,7,9.81,5.09,0,23,Summer,43,25.45,0.83,2.28,3,10.18
2026-09-14T14:49:27.656961,Med-Surg,Nitrile Gloves Medium,PPE,33,10,1.02,4,8.9,5.97,3,5,Winter,40,103.4,0.74,5.37,2,11.35
2026-09-14T14:49:27.658472,Surgery,Nitrile Gloves Medium,PPE,79,6,1.63,4,8.34,1.35,1,4,Spring,46,71.36,0.83,9.95,2,7.45
2026-09-14T14:49:27.659031,Surgery,Patient Monitoring Leads,Monitoring,21,9,2.62,5,5.93,2.19,2,16,Winter,30,144.98,0.87,4.13,4,6.71
2026-09-14T14:49:27.659031,Med-Surg,Blood Draw Kit,Lab Supplies,17,11,2.21,6,2.51,3.59,3,21,Summer,36,136.46,0.92,5.8,2,2.04
2026-09-14T14:49:27.660561,Emergency Department,Blood Draw Kit,Lab Supplies,24,10,3.91,4,5.93,3.69,2,0,Spring,33,66.46,0.88,9.27,2,7.09
2026-09-14T14:49:27.660561,Surgery,Syringe 10ml,IV Supplies,85,9,3.29,3,13.1,3.35,0,0,Autumn,17,9.84,0.97,5.03,3,19.08
2026-09-14T14:49:27.661161,Outpatient Clinic,Foley Catheter Kit,Catheterization,84,10,2.93,6,14.93,1.08,5,6,Summer,10,51.6,0.89,1.62,3,16.81
2026-09-14T14:49:27.661161,Labor and Delivery,Blood Draw Kit,Lab Supplies,12,11,2.46,2,2.86,2.77,2,13,Autumn,22,142.18,0.72,9.6,2,0.0
2026-09-14T14:49:27.662173,Emergency Department,Foley Catheter Kit,Catheterization,38,3,2.21,3,14.08,3.13,2,21,Winter,48,71.73,0.77,6.76,3,15.91
2026-09-14T14:49:27.662173,Labor and Delivery,Nasal Cannula,Respiratory,25,7,3.28,6,8.84,3.51,5,19,Winter,33,43.85,0.87,2.08,3,10.18
2026-09-14T14:49:27.662173,Med-Surg,Foley Catheter Kit,Catheterization,35,8,2.89,2,2.0,3.82,1,17,Autumn,31,106.19,0.72,8.55,3,3.06
2026-09-14T14:49:27.663679,Emergency Department,Wound Care Pack,Wound Care,73,16,3.79,7,6.91,6.59,2,4,Winter,32,74.33,0.82,6.69,3,8.64
2026-09-14T14:49:27.664688,Labor and Delivery,Oxygen Mask,Respiratory,37,8,3.03,5,8.48,3.0,0,2,Summer,27,95.35,0.93,1.03,4,7.7
2026-09-14T14:49:27.664688,Outpatient Clinic,PPE Gown,PPE,17,9,3.55,4,10.81,4.45,1,8,Autumn,17,97.92,0.92,3.84,3,9.51
2026-09-14T14:49:27.665691,Radiology,Wound Care Pack,Wound Care,69,15,2.1,1,8.71,2.24,4,9,Spring,22,57.17,0.8,1.17,3,12.86
2026-09-14T14:49:27.665691,Med-Surg,Patient Monitoring Leads,Monitoring,14,8,3.63,1,11.91,3.46,6,16,Autumn,37,146.41,0.74,1.15,4,14.45
2026-09-14T14:49:27.665691,ICU,Oxygen Mask,Respiratory,10,9,2.03,6,13.43,4.89,2,7,Winter,32,117.17,0.84,4.58,4,15.96
2026-09-14T14:49:27.666694,Med-Surg,Blood Draw Kit,Lab Supplies,71,11,1.18,7,12.1,1.83,1,11,Summer,35,127.16,0.79,3.49,2,13.35
2026-09-14T14:49:27.666694,Med-Surg,Surgical Tray,Surgical Supplies,79,7,3.75,4,3.91,0.55,3,8,Summer,42,143.71,0.86,3.18,4,5.06
2026-09-14T14:49:27.667253,Labor and Delivery,Saline Flush,IV Supplies,25,18,3.79,5,8.26,6.33,3,0,Winter,20,119.07,0.96,3.18,2,5.89
2026-09-14T14:49:27.667829,Emergency Department,Syringe 10ml,IV Supplies,23,6,1.04,0,12.78,5.26,4,1,Winter,25,146.61,0.93,2.46,3,14.98
